ID,Płeć,Wiek,Odległość,Szum tła (dB),Wynik
d4e31c70-9cc8-4671-b8e8-249913001ffa,male,31_50,50cm,-54.745973691521485,0
d4e31c70-9cc8-4671-b8e8-249913001ffa,male,31_50,50cm,-54.745973691521485,0
d4e31c70-9cc8-4671-b8e8-249913001ffa,male,31_50,50cm,-54.745973691521485,0
d4e31c70-9cc8-4671-b8e8-249913001ffa,male,31_50,50cm,-54.745973691521485,0
d4e31c70-9cc8-4671-b8e8-249913001ffa,male,31_50,50cm,-54.745973691521485,0
d4e31c70-9cc8-4671-b8e8-249913001ffa,male,31_50,1m,-54.745973691521485,0
d4e31c70-9cc8-4671-b8e8-249913001ffa,male,31_50,1m,-54.745973691521485,0
d4e31c70-9cc8-4671-b8e8-249913001ffa,male,31_50,1m,-54.745973691521485,0
d4e31c70-9cc8-4671-b8e8-249913001ffa,male,31_50,1m,-54.745973691521485,0
d4e31c70-9cc8-4671-b8e8-249913001ffa,male,31_50,1m,-54.745973691521485,0
d4e31c70-9cc8-4671-b8e8-249913001ffa,male,31_50,3m,-54.745973691521485,0
d4e31c70-9cc8-4671-b8e8-249913001ffa,male,31_50,3m,-54.745973691521485,0
d4e31c70-9cc8-4671-b8e8-249913001ffa,male,31_50,3m,-54.745973691521485,0
d4e31c70-9cc8-4671-b8e8-249913001ffa,male,31_50,3m,-54.745973691521485,0
d4e31c70-9cc8-4671-b8e8-249913001ffa,male,31_50,3m,-54.745973691521485,0
d4e31c70-9cc8-4671-b8e8-249913001ffa,male,31_50,5m,-54.745973691521485,0
d4e31c70-9cc8-4671-b8e8-249913001ffa,male,31_50,5m,-54.745973691521485,0
d4e31c70-9cc8-4671-b8e8-249913001ffa,male,31_50,5m,-54.745973691521485,0
d4e31c70-9cc8-4671-b8e8-249913001ffa,male,31_50,5m,-54.745973691521485,0
d4e31c70-9cc8-4671-b8e8-249913001ffa,male,31_50,5m,-54.745973691521485,0
