ID,Płeć,Wiek,Odległość,Szum tła (dB),Wynik
5616f399-2d08-48fc-a3ab-b0e7a0ee827a,male,31_50,50cm,-84.28839878591472,0
5616f399-2d08-48fc-a3ab-b0e7a0ee827a,male,31_50,50cm,-84.28839878591472,0
5616f399-2d08-48fc-a3ab-b0e7a0ee827a,male,31_50,50cm,-84.28839878591472,0
5616f399-2d08-48fc-a3ab-b0e7a0ee827a,male,31_50,50cm,-84.28839878591472,0
5616f399-2d08-48fc-a3ab-b0e7a0ee827a,male,31_50,50cm,-84.28839878591472,0
5616f399-2d08-48fc-a3ab-b0e7a0ee827a,male,31_50,1m,-84.28839878591472,0
5616f399-2d08-48fc-a3ab-b0e7a0ee827a,male,31_50,1m,-84.28839878591472,0
5616f399-2d08-48fc-a3ab-b0e7a0ee827a,male,31_50,1m,-84.28839878591472,0
5616f399-2d08-48fc-a3ab-b0e7a0ee827a,male,31_50,1m,-84.28839878591472,0
5616f399-2d08-48fc-a3ab-b0e7a0ee827a,male,31_50,1m,-84.28839878591472,0
5616f399-2d08-48fc-a3ab-b0e7a0ee827a,male,31_50,3m,-84.28839878591472,0
5616f399-2d08-48fc-a3ab-b0e7a0ee827a,male,31_50,3m,-84.28839878591472,0
5616f399-2d08-48fc-a3ab-b0e7a0ee827a,male,31_50,3m,-84.28839878591472,0
5616f399-2d08-48fc-a3ab-b0e7a0ee827a,male,31_50,3m,-84.28839878591472,0
5616f399-2d08-48fc-a3ab-b0e7a0ee827a,male,31_50,3m,-84.28839878591472,0
5616f399-2d08-48fc-a3ab-b0e7a0ee827a,male,31_50,5m,-84.28839878591472,0
5616f399-2d08-48fc-a3ab-b0e7a0ee827a,male,31_50,5m,-84.28839878591472,0
5616f399-2d08-48fc-a3ab-b0e7a0ee827a,male,31_50,5m,-84.28839878591472,0
5616f399-2d08-48fc-a3ab-b0e7a0ee827a,male,31_50,5m,-84.28839878591472,0
5616f399-2d08-48fc-a3ab-b0e7a0ee827a,male,31_50,5m,-84.28839878591472,0
